Band: alpha, Metric: pli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.510404	0.569581	False	Mann-Whitney	0.0630	False
0-2	0.000002	0.000012	True	Mann-Whitney	0.4581	False
0-3	0.000017	0.000073	True	Mann-Whitney	0.4099	False
0-4	0.000000	0.000005	True	Mann-Whitney	0.4799	False
0-5	0.809943	0.831542	False	Mann-Whitney	0.0232	False
0-6	0.000001	0.000007	True	Mann-Whitney	0.4690	False
0-7	0.000018	0.000073	True	Mann-Whitney	0.4093	False
0-8	0.004313	0.007065	True	Mann-Whitney	0.2724	False
0-9	0.000617	0.001296	True	Mann-Whitney	0.3266	False
0-10	0.000047	0.000162	True	Mann-Whitney	0.3882	False
0-11	0.362102	0.415852	False	Mann-Whitney	0.0872	False
0-12	0.000067	0.000217	True	Mann-Whitney	0.3803	False
0-13	0.000129	0.000381	True	Mann-Whitney	0.3652	False
0-14	0.000006	0.000032	True	Mann-Whitney	0.4310	False
0-15	0.056779	0.075815	False	Mann-Whitney	0.1819	False
0-16	0.000000	0.000001	True	Mann-Whitney	0.5215	False
0-17	0.000170	0.000447	True	Mann-Whitney	0.3586	False
0-18	0.000015	0.000067	True	Mann-Whitney	0.4129	False
0-19	0.143746	0.177568	False	Mann-Whitney	0.1396	False
0-20	0.568946	0.617026	False	Mann-Whitney	0.0546	False
0-21	0.563754	0.617026	False	t-test	-0.0926	True
1-2	0.000031	0.000120	True	Mann-Whitney	0.3972	False
1-3	0.000146	0.000397	True	Mann-Whitney	0.3622	False
1-4	0.143746	0.177568	False	Mann-Whitney	0.1396	False
1-5	0.002099	0.003730	True	Mann-Whitney	0.2935	False
1-6	0.000135	0.000387	True	Mann-Whitney	0.3640	False
1-7	0.000796	0.001544	True	Mann-Whitney	0.3200	False
1-8	0.017032	0.025384	True	Mann-Whitney	0.2277	False
1-9	0.006376	0.009952	True	Mann-Whitney	0.2603	False
1-10	0.000113	0.000339	True	Mann-Whitney	0.3683	False
1-11	0.001487	0.002793	True	Mann-Whitney	0.3031	False
1-12	0.060150	0.079854	False	Mann-Whitney	0.1795	False
1-13	0.074300	0.095885	False	Mann-Whitney	0.1704	False
1-14	0.000647	0.001334	True	Mann-Whitney	0.3254	False
1-15	0.000796	0.001544	True	Mann-Whitney	0.3200	False
1-16	0.091061	0.116217	False	Mann-Whitney	0.1614	False
1-17	0.004577	0.007394	True	Mann-Whitney	0.2705	False
1-18	0.000030	0.000119	True	Mann-Whitney	0.3978	False
1-19	0.055153	0.074072	False	Mann-Whitney	0.1831	False
1-20	0.365446	0.415852	False	Mann-Whitney	0.0866	False
1-21	0.436299	0.491634	False	Mann-Whitney	0.0745	False
2-3	0.000267	0.000636	True	Mann-Whitney	0.3478	False
2-4	0.000005	0.000026	True	Mann-Whitney	0.4358	False
2-5	0.000048	0.000164	True	Mann-Whitney	0.3876	False
2-6	0.045506	0.062201	False	Mann-Whitney	0.1909	False
2-7	0.000003	0.000017	True	Mann-Whitney	0.4485	False
2-8	0.000000	0.000001	True	Mann-Whitney	0.5154	False
2-9	0.003824	0.006355	True	Mann-Whitney	0.2760	False
2-10	0.006019	0.009523	True	Mann-Whitney	0.2621	False
2-11	0.000000	0.000003	True	Mann-Whitney	0.4883	False
2-12	0.000000	0.000001	True	Mann-Whitney	0.5154	False
2-13	0.000677	0.001384	True	Mann-Whitney	0.3242	False
2-14	0.000248	0.000603	True	Mann-Whitney	0.3496	False
2-15	0.000000	0.000002	True	Mann-Whitney	0.4998	False
2-16	0.000000	0.000001	True	Mann-Whitney	0.5136	False
2-17	0.000040	0.000144	True	Mann-Whitney	0.3918	False
2-18	0.030426	0.043386	True	Mann-Whitney	0.2066	False
2-19	0.002284	0.003967	True	Mann-Whitney	0.2911	False
2-20	0.044157	0.060715	False	Mann-Whitney	0.1921	False
2-21	0.579246	0.625261	False	t-test	-0.0870	True
3-4	0.000000	0.000001	True	Mann-Whitney	0.5191	False
3-5	0.000433	0.000953	True	Mann-Whitney	0.3357	False
3-6	0.000139	0.000387	True	Mann-Whitney	0.3634	False
3-7	0.809943	0.831542	False	Mann-Whitney	0.0232	False
3-8	0.000001	0.000006	True	Mann-Whitney	0.4720	False
3-9	0.000000	0.000005	True	Mann-Whitney	0.4811	False
3-10	0.000760	0.001500	True	Mann-Whitney	0.3212	False
3-11	0.000139	0.000387	True	Mann-Whitney	0.3634	False
3-12	0.000000	0.000000	True	Mann-Whitney	0.5703	False
3-13	0.535103	0.591430	False	Mann-Whitney	0.0594	False
3-14	0.001969	0.003526	True	Mann-Whitney	0.2953	False
3-15	0.000034	0.000126	True	Mann-Whitney	0.3954	False
3-16	0.000000	0.000000	True	Mann-Whitney	0.5818	False
3-17	0.302252	0.356226	False	Mann-Whitney	0.0986	False
3-18	0.000094	0.000286	True	Mann-Whitney	0.3725	False
3-19	0.000051	0.000171	True	Mann-Whitney	0.3864	False
