Band: alpha, Metric: plv
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.000021	0.000295	True	Mann-Whitney	0.4057	False
0-2	0.742077	0.820190	False	Mann-Whitney	0.0317	False
0-3	0.766116	0.838733	False	Mann-Whitney	0.0287	False
0-4	0.099862	0.173445	False	Mann-Whitney	0.1571	False
0-5	0.000135	0.001043	True	Mann-Whitney	0.3640	False
0-6	0.214801	0.320123	False	Mann-Whitney	0.1185	False
0-7	0.742077	0.820190	False	Mann-Whitney	0.0317	False
0-8	0.736383	0.820190	False	t-test	-0.0594	True
0-9	0.000000	0.000000	True	Mann-Whitney	0.5601	False
0-10	0.003037	0.012307	True	t-test	-0.5389	True
0-11	0.314271	0.427039	False	Mann-Whitney	0.0962	False
0-12	0.221903	0.326494	False	Mann-Whitney	0.1167	False
0-13	0.462854	0.565710	False	Mann-Whitney	0.0703	False
0-14	0.049034	0.095183	False	Mann-Whitney	0.1879	False
0-15	0.165736	0.255233	False	Mann-Whitney	0.1324	False
0-16	0.246785	0.354082	False	Mann-Whitney	0.1107	False
0-17	0.092279	0.161489	False	Mann-Whitney	0.1608	False
0-18	0.352188	0.464889	False	Mann-Whitney	0.0890	False
0-19	0.229171	0.332947	False	Mann-Whitney	0.1149	False
0-20	0.044827	0.089268	False	Mann-Whitney	0.1915	False
0-21	0.506998	0.613176	False	t-test	-0.1028	True
1-2	0.000403	0.002452	True	Mann-Whitney	0.3375	False
1-3	0.000053	0.000492	True	Mann-Whitney	0.3858	False
1-4	0.004857	0.017530	True	Mann-Whitney	0.2687	False
1-5	0.136936	0.224342	False	Mann-Whitney	0.1421	False
1-6	0.000366	0.002287	True	Mann-Whitney	0.3399	False
1-7	0.000087	0.000694	True	Mann-Whitney	0.3743	False
1-8	0.000000	0.000009	True	Mann-Whitney	0.4961	False
1-9	0.000001	0.000037	True	Mann-Whitney	0.4642	False
1-10	0.000003	0.000087	True	Mann-Whitney	0.4431	False
1-11	0.036182	0.076679	False	Mann-Whitney	0.2000	False
1-12	0.000028	0.000340	True	Mann-Whitney	0.3996	False
1-13	0.001044	0.005359	True	Mann-Whitney	0.3128	False
1-14	0.001487	0.007012	True	Mann-Whitney	0.3031	False
1-15	0.101173	0.174410	False	Mann-Whitney	0.1565	False
1-16	0.000524	0.003103	True	Mann-Whitney	0.3309	False
1-17	0.000872	0.004682	True	Mann-Whitney	0.3176	False
1-18	0.000188	0.001319	True	Mann-Whitney	0.3562	False
1-19	0.064595	0.120335	False	Mann-Whitney	0.1764	False
1-20	0.008006	0.024658	True	Mann-Whitney	0.2530	False
1-21	0.919342	0.939681	False	Mann-Whitney	0.0100	False
2-3	0.000031	0.000343	True	Mann-Whitney	0.3972	False
2-4	0.834562	0.889488	False	Mann-Whitney	0.0202	False
2-5	0.019524	0.049560	True	Mann-Whitney	0.2229	False
2-6	0.016173	0.042453	True	Mann-Whitney	0.2295	False
2-7	0.001694	0.007675	True	Mann-Whitney	0.2995	False
2-8	0.026320	0.063057	False	Mann-Whitney	0.2120	False
2-9	0.262620	0.369909	False	Mann-Whitney	0.1071	False
2-10	0.854375	0.897516	False	Mann-Whitney	0.0178	False
2-11	0.000662	0.003821	True	Mann-Whitney	0.3248	False
2-12	0.032937	0.073869	False	Mann-Whitney	0.2036	False
2-13	0.008468	0.025403	True	Mann-Whitney	0.2512	False
2-14	0.145488	0.234579	False	Mann-Whitney	0.1390	False
2-15	0.082896	0.150778	False	Mann-Whitney	0.1656	False
2-16	0.320397	0.430301	False	Mann-Whitney	0.0950	False
2-17	0.000023	0.000295	True	Mann-Whitney	0.4039	False
2-18	0.035623	0.076194	False	Mann-Whitney	0.2006	False
2-19	0.355474	0.466559	False	Mann-Whitney	0.0884	False
2-20	0.004669	0.017119	True	Mann-Whitney	0.2699	False
2-21	0.136414	0.224342	False	t-test	-0.2273	True
3-4	0.017932	0.046025	True	Mann-Whitney	0.2259	False
3-5	0.030915	0.070013	False	Mann-Whitney	0.2060	False
3-6	0.029945	0.069172	False	Mann-Whitney	0.2072	False
3-7	0.594982	0.699269	False	Mann-Whitney	0.0510	False
3-8	0.003251	0.012516	True	Mann-Whitney	0.2808	False
3-9	0.147247	0.234579	False	Mann-Whitney	0.1384	False
3-10	0.003185	0.012471	True	Mann-Whitney	0.2814	False
3-11	0.000048	0.000486	True	Mann-Whitney	0.3876	False
3-12	0.001248	0.006132	True	Mann-Whitney	0.3079	False
3-13	0.160015	0.249752	False	Mann-Whitney	0.1342	False
3-14	0.854375	0.897516	False	Mann-Whitney	0.0178	False
3-15	0.017628	0.045752	True	Mann-Whitney	0.2265	False
3-16	0.013818	0.037553	True	Mann-Whitney	0.2350	False
3-17	0.089857	0.159669	False	Mann-Whitney	0.1620	False
3-18	0.000002	0.000044	True	Mann-Whitney	0.4587	False
3-19	0.009120	0.027009	True	Mann-Whitney	0.2488	False
3-20	0.190166	0.287113	False	Mann-Whitney	0.1252	False
3-21	0.835580	0.889488	False	t-test	-0.0322	True
4-5	0.399929	0.502085	False	Mann-Whitney	0.0805	False
4-6	0.089857	0.159669	False	Mann-Whitney	0.1620	False
4-7	0.043495	0.088134	False	Mann-Whitney	0.1927	False
4-8	0.175612	0.268651	False	Mann-Whitney	0.1294	False
4-9	0.809943	0.870218	False	Mann-Whitney	0.0232	False
4-10	0.785511	0.855911	False	Mann-Whitney	0.0262	False
4-11	0.003599	0.013630	True	Mann-Whitney	0.2778	False
4-12	0.005570	0.019495	True	Mann-Whitney	0.2645	False
4-13	0.000000	0.000002	True	t-test	-0.9346	True
4-14	0.062786	0.118881	False	Mann-Whitney	0.1776	False
4-15	0.165736	0.255233	False	Mann-Whitney	0.1324	False
4-16	0.008311	0.025261	True	Mann-Whitney	0.2518	False
4-17	0.016173	0.042453	True	Mann-Whitney	0.2295	False
4-18	0.015086	0.040522	True	Mann-Whitney	0.2319	False
4-19	0.414253	0.517256	False	Mann-Whitney	0.0781	False
4-20	0.379010	0.486396	False	Mann-Whitney	0.0841	False
4-21	0.994950	0.994950	False	Mann-Whitney	0.0009	False
5-6	0.021959	0.055137	False	Mann-Whitney	0.2187	False
5-7	0.042195	0.086258	False	Mann-Whitney	0.1939	False
5-8	0.001220	0.006128	True	Mann-Whitney	0.3085	False
5-9	0.000023	0.000295	True	Mann-Whitney	0.4039	False
5-10	0.002757	0.011580	True	Mann-Whitney	0.2856	False
5-11	0.727772	0.820190	False	Mann-Whitney	0.0335	False
5-12	0.379010	0.486396	False	Mann-Whitney	0.0841	False
5-13	0.345675	0.458914	False	Mann-Whitney	0.0902	False
5-14	0.147247	0.234579	False	Mann-Whitney	0.1384	False
5-15	0.257265	0.364591	False	Mann-Whitney	0.1083	False
5-16	0.742077	0.820190	False	Mann-Whitney	0.0317	False
5-17	0.005357	0.019039	True	Mann-Whitney	0.2657	False
5-18	0.177638	0.269963	False	Mann-Whitney	0.1288	False
5-19	0.029000	0.067668	False	Mann-Whitney	0.2084	False
5-20	0.127191	0.212907	False	Mann-Whitney	0.1457	False
5-21	0.854777	0.897516	False	t-test	0.0284	True
6-7	0.007286	0.024045	True	Mann-Whitney	0.2561	False
6-8	0.751664	0.826830	False	Mann-Whitney	0.0305	False
6-9	0.547674	0.655507	False	Mann-Whitney	0.0576	False
6-10	0.320397	0.430301	False	Mann-Whitney	0.0950	False
6-11	0.201093	0.301639	False	Mann-Whitney	0.1222	False
6-12	0.287664	0.397906	False	Mann-Whitney	0.1016	False
6-13	0.124066	0.209191	False	Mann-Whitney	0.1469	False
6-14	0.008006	0.024658	True	Mann-Whitney	0.2530	False
6-15	0.617085	0.712733	False	Mann-Whitney	0.0480	False
6-16	0.103836	0.177675	False	Mann-Whitney	0.1553	False
6-17	0.008006	0.024658	True	Mann-Whitney	0.2530	False
6-18	0.010371	0.029215	True	Mann-Whitney	0.2446	False
6-19	0.229171	0.332947	False	Mann-Whitney	0.1149	False
6-20	0.039091	0.081351	False	Mann-Whitney	0.1969	False
6-21	0.599374	0.699269	False	Mann-Whitney	0.0504	False
7-8	0.113596	0.192947	False	Mann-Whitney	0.1511	False
7-9	0.311237	0.425419	False	Mann-Whitney	0.0968	False
7-10	0.417881	0.518981	False	Mann-Whitney	0.0775	False
7-11	0.001769	0.007859	True	Mann-Whitney	0.2983	False
7-12	0.073279	0.135420	False	Mann-Whitney	0.1710	False
7-13	0.038494	0.080836	False	Mann-Whitney	0.1976	False
7-14	0.432578	0.534361	False	Mann-Whitney	0.0751	False
7-15	0.287664	0.397906	False	Mann-Whitney	0.1016	False
7-16	0.311237	0.425419	False	Mann-Whitney	0.0968	False
