Band: alpha, Metric: wpli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.096011	0.117971	False	Mann-Whitney	0.1589	False
0-2	0.000403	0.000961	True	Mann-Whitney	0.3375	False
0-3	0.004399	0.007106	True	Mann-Whitney	0.2717	False
0-4	0.000000	0.000000	True	Mann-Whitney	0.6524	False
0-5	0.035623	0.046230	True	Mann-Whitney	0.2006	False
0-6	0.002382	0.004169	True	Mann-Whitney	0.2898	False
0-7	0.007711	0.011418	True	Mann-Whitney	0.2543	False
0-8	0.000078	0.000270	True	Mann-Whitney	0.3767	False
0-9	0.025895	0.034777	True	Mann-Whitney	0.2126	False
0-10	0.002237	0.003944	True	Mann-Whitney	0.2917	False
0-11	0.414253	0.451379	False	Mann-Whitney	0.0781	False
0-12	0.000000	0.000000	True	Mann-Whitney	0.6089	False
0-13	0.003456	0.005702	True	Mann-Whitney	0.2790	False
0-14	0.000814	0.001741	True	Mann-Whitney	0.3194	False
0-15	0.466719	0.503795	False	Mann-Whitney	0.0697	False
0-16	0.000000	0.000000	True	Mann-Whitney	0.6620	False
0-17	0.005152	0.008096	True	Mann-Whitney	0.2669	False
0-18	0.002144	0.003810	True	Mann-Whitney	0.2929	False
0-19	0.093510	0.115512	False	Mann-Whitney	0.1602	False
0-20	0.000105	0.000336	True	Mann-Whitney	0.3701	False
0-21	0.000000	0.000000	True	t-test	-1.0894	True
1-2	0.001248	0.002506	True	Mann-Whitney	0.3079	False
1-3	0.010183	0.014611	True	Mann-Whitney	0.2452	False
1-4	0.795260	0.809274	False	Mann-Whitney	0.0250	False
1-5	0.000001	0.000007	True	Mann-Whitney	0.4648	False
1-6	0.005679	0.008746	True	Mann-Whitney	0.2639	False
1-7	0.029000	0.038063	True	Mann-Whitney	0.2084	False
1-8	0.713561	0.739159	False	Mann-Whitney	0.0353	False
1-9	0.125621	0.148812	False	Mann-Whitney	0.1463	False
1-10	0.004669	0.007387	True	Mann-Whitney	0.2699	False
1-11	0.000002	0.000013	True	Mann-Whitney	0.4533	False
1-12	0.644073	0.673216	False	Mann-Whitney	0.0443	False
1-13	0.270795	0.308146	False	Mann-Whitney	0.1053	False
1-14	0.028082	0.037068	True	Mann-Whitney	0.2096	False
