Band: beta, Metric: pli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.014314	0.019681	True	Mann-Whitney	0.2337	False
0-2	0.000000	0.000000	True	Mann-Whitney	0.5209	False
0-3	0.000001	0.000002	True	Mann-Whitney	0.4786	False
0-4	0.608201	0.675454	False	Mann-Whitney	0.0492	False
0-5	0.037904	0.049190	True	Mann-Whitney	0.1982	False
0-6	0.000000	0.000000	True	Mann-Whitney	0.5625	False
0-7	0.000000	0.000001	True	Mann-Whitney	0.5058	False
0-8	0.780649	0.815973	False	Mann-Whitney	0.0268	False
0-9	0.000027	0.000065	True	Mann-Whitney	0.4002	False
0-10	0.000009	0.000025	True	Mann-Whitney	0.4238	False
0-11	0.000046	0.000101	True	Mann-Whitney	0.3888	False
0-12	0.644073	0.705122	False	Mann-Whitney	0.0443	False
0-13	0.000000	0.000001	True	Mann-Whitney	0.5076	False
0-14	0.000001	0.000003	True	Mann-Whitney	0.4720	False
0-15	0.000034	0.000078	True	Mann-Whitney	0.3954	False
0-16	0.653176	0.708374	False	Mann-Whitney	0.0431	False
0-17	0.000002	0.000006	True	Mann-Whitney	0.4581	False
0-18	0.000000	0.000000	True	Mann-Whitney	0.5233	False
0-19	0.001808	0.002860	True	Mann-Whitney	0.2977	False
0-20	0.839506	0.869622	False	Mann-Whitney	0.0196	False
0-21	0.018241	0.024498	True	Mann-Whitney	0.2253	False
1-2	0.000000	0.000000	True	Mann-Whitney	0.5269	False
1-3	0.000000	0.000001	True	Mann-Whitney	0.5034	False
1-4	0.014567	0.019911	True	Mann-Whitney	0.2331	False
1-5	0.013818	0.019114	True	Mann-Whitney	0.2350	False
1-6	0.000028	0.000066	True	Mann-Whitney	0.3996	False
1-7	0.000013	0.000035	True	Mann-Whitney	0.4153	False
1-8	0.020194	0.026810	True	Mann-Whitney	0.2217	False
1-9	0.000038	0.000086	True	Mann-Whitney	0.3930	False
1-10	0.000053	0.000113	True	Mann-Whitney	0.3858	False
1-11	0.005679	0.008200	True	Mann-Whitney	0.2639	False
1-12	0.002995	0.004674	True	Mann-Whitney	0.2832	False
1-13	0.000000	0.000002	True	Mann-Whitney	0.4817	False
1-14	0.000113	0.000227	True	Mann-Whitney	0.3683	False
1-15	0.086319	0.108368	False	Mann-Whitney	0.1638	False
1-16	0.001694	0.002737	True	Mann-Whitney	0.2995	False
1-17	0.000001	0.000004	True	Mann-Whitney	0.4696	False
1-18	0.000000	0.000000	True	Mann-Whitney	0.5788	False
1-19	0.001731	0.002758	True	Mann-Whitney	0.2989	False
1-20	0.001853	0.002912	True	t-test	0.5476	True
1-21	0.000833	0.001394	True	Mann-Whitney	0.3188	False
2-3	0.000009	0.000026	True	Mann-Whitney	0.4226	False
2-4	0.000000	0.000000	True	Mann-Whitney	0.5631	False
2-5	0.000000	0.000002	True	Mann-Whitney	0.4799	False
2-6	0.630517	0.693569	False	Mann-Whitney	0.0461	False
2-7	0.000062	0.000132	True	Mann-Whitney	0.3821	False
2-8	0.000000	0.000000	True	Mann-Whitney	0.5498	False
2-9	0.000003	0.000010	True	Mann-Whitney	0.4455	False
2-10	0.653176	0.708374	False	Mann-Whitney	0.0431	False
2-11	0.000000	0.000001	True	Mann-Whitney	0.5046	False
2-12	0.000000	0.000000	True	Mann-Whitney	0.6053	False
2-13	0.000005	0.000015	True	Mann-Whitney	0.4364	False
2-14	0.302252	0.359898	False	Mann-Whitney	0.0986	False
2-15	0.000000	0.000001	True	Mann-Whitney	0.4998	False
2-16	0.000000	0.000000	True	Mann-Whitney	0.5456	False
2-17	0.000358	0.000635	True	Mann-Whitney	0.3405	False
2-18	0.175612	0.215778	False	Mann-Whitney	0.1294	False
2-19	0.000009	0.000025	True	Mann-Whitney	0.4238	False
2-20	0.969709	0.978178	False	Mann-Whitney	0.0039	False
2-21	0.017932	0.024224	True	Mann-Whitney	0.2259	False
3-4	0.000000	0.000000	True	Mann-Whitney	0.5878	False
3-5	0.000004	0.000013	True	Mann-Whitney	0.4400	False
3-6	0.000004	0.000012	True	Mann-Whitney	0.4413	False
3-7	0.093510	0.116761	False	Mann-Whitney	0.1602	False
3-8	0.000000	0.000001	True	Mann-Whitney	0.4955	False
3-9	0.884264	0.907845	False	Mann-Whitney	0.0142	False
3-10	0.000015	0.000040	True	Mann-Whitney	0.4123	False
3-11	0.000085	0.000175	True	Mann-Whitney	0.3749	False
3-12	0.000000	0.000000	True	Mann-Whitney	0.5800	False
3-13	0.011355	0.015897	True	Mann-Whitney	0.2416	False
3-14	0.000040	0.000090	True	Mann-Whitney	0.3918	False
3-15	0.000018	0.000045	True	Mann-Whitney	0.4087	False
3-16	0.000000	0.000000	True	Mann-Whitney	0.5547	False
3-17	0.084024	0.106064	False	Mann-Whitney	0.1650	False
3-18	0.003824	0.005774	True	Mann-Whitney	0.2760	False
3-19	0.000006	0.000019	True	Mann-Whitney	0.4304	False
3-20	0.196668	0.239107	False	Mann-Whitney	0.1234	False
3-21	0.004762	0.007007	True	Mann-Whitney	0.2693	False
4-5	0.067390	0.085534	False	Mann-Whitney	0.1746	False
4-6	0.000000	0.000001	True	Mann-Whitney	0.5004	False
4-7	0.000000	0.000001	True	Mann-Whitney	0.4925	False
4-8	0.869296	0.896462	False	Mann-Whitney	0.0160	False
4-9	0.000003	0.000011	True	Mann-Whitney	0.4443	False
4-10	0.000000	0.000000	True	Mann-Whitney	0.5474	False
4-11	0.000465	0.000808	True	Mann-Whitney	0.3339	False
4-12	0.713561	0.759597	False	Mann-Whitney	0.0353	False
4-13	0.000000	0.000000	True	Mann-Whitney	0.5547	False
4-14	0.000001	0.000004	True	Mann-Whitney	0.4654	False
4-15	0.026320	0.034743	True	Mann-Whitney	0.2120	False
4-16	0.780649	0.815973	False	Mann-Whitney	0.0268	False
4-17	0.000000	0.000002	True	Mann-Whitney	0.4799	False
4-18	0.000000	0.000000	True	Mann-Whitney	0.5607	False
4-19	0.000317	0.000576	True	Mann-Whitney	0.3435	False
4-20	0.671538	0.721513	False	Mann-Whitney	0.0407	False
4-21	0.000778	0.001311	True	Mann-Whitney	0.3206	False
5-6	0.000000	0.000001	True	Mann-Whitney	0.5028	False
5-7	0.000003	0.000011	True	Mann-Whitney	0.4431	False
5-8	0.007015	0.010003	True	Mann-Whitney	0.2573	False
5-9	0.001731	0.002758	True	Mann-Whitney	0.2989	False
5-10	0.000139	0.000274	True	Mann-Whitney	0.3634	False
5-11	0.451364	0.513621	False	Mann-Whitney	0.0721	False
5-12	0.000536	0.000925	True	Mann-Whitney	0.3303	False
5-13	0.000002	0.000006	True	Mann-Whitney	0.4581	False
5-14	0.000030	0.000070	True	Mann-Whitney	0.3978	False
5-15	0.158141	0.195351	False	Mann-Whitney	0.1348	False
5-16	0.014824	0.020144	True	Mann-Whitney	0.2325	False
5-17	0.000010	0.000028	True	Mann-Whitney	0.4207	False
5-18	0.000000	0.000001	True	Mann-Whitney	0.4889	False
5-19	0.000162	0.000314	True	Mann-Whitney	0.3598	False
5-20	0.029000	0.038063	True	Mann-Whitney	0.2084	False
5-21	0.005463	0.007936	True	Mann-Whitney	0.2651	False
6-7	0.000047	0.000103	True	Mann-Whitney	0.3882	False
6-8	0.000000	0.000001	True	Mann-Whitney	0.4986	False
6-9	0.000017	0.000043	True	Mann-Whitney	0.4105	False
6-10	0.385907	0.450225	False	Mann-Whitney	0.0829	False
6-11	0.000000	0.000001	True	Mann-Whitney	0.4961	False
6-12	0.000000	0.000000	True	Mann-Whitney	0.5378	False
6-13	0.000004	0.000013	True	Mann-Whitney	0.4388	False
6-14	0.994950	0.994950	False	Mann-Whitney	0.0009	False
6-15	0.000001	0.000003	True	Mann-Whitney	0.4708	False
6-16	0.000000	0.000000	True	Mann-Whitney	0.5251	False
6-17	0.000076	0.000160	True	Mann-Whitney	0.3773	False
6-18	0.490286	0.555177	False	Mann-Whitney	0.0661	False
6-19	0.000003	0.000010	True	Mann-Whitney	0.4455	False
6-20	0.666928	0.719909	False	Mann-Whitney	0.0413	False
6-21	0.008006	0.011346	True	Mann-Whitney	0.2530	False
7-8	0.000001	0.000005	True	Mann-Whitney	0.4624	False
7-9	0.205590	0.248645	False	Mann-Whitney	0.1209	False
7-10	0.000009	0.000026	True	Mann-Whitney	0.4226	False
7-11	0.000170	0.000328	True	Mann-Whitney	0.3586	False
7-12	0.000000	0.000000	True	Mann-Whitney	0.5215	False
7-13	0.000110	0.000223	True	Mann-Whitney	0.3689	False
7-14	0.000007	0.000020	True	Mann-Whitney	0.4286	False
7-15	0.000017	0.000043	True	Mann-Whitney	0.4105	False
7-16	0.000000	0.000001	True	Mann-Whitney	0.5058	False
