Band: beta, Metric: plv
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.002333	0.011227	True	Mann-Whitney	0.2904	False
0-2	0.824693	0.858127	False	Mann-Whitney	0.0214	False
0-3	0.455176	0.565299	False	Mann-Whitney	0.0715	False
0-4	0.036748	0.077172	False	Mann-Whitney	0.1994	False
0-5	0.011562	0.033385	True	Mann-Whitney	0.2410	False
0-6	0.259933	0.361714	False	Mann-Whitney	0.1077	False
0-7	0.809943	0.846592	False	Mann-Whitney	0.0232	False
0-8	0.451364	0.565299	False	Mann-Whitney	0.0721	False
0-9	0.000000	0.000012	True	Mann-Whitney	0.5076	False
0-10	0.078502	0.140574	False	Mann-Whitney	0.1680	False
0-11	0.101173	0.173118	False	Mann-Whitney	0.1565	False
0-12	0.147247	0.222314	False	Mann-Whitney	0.1384	False
0-13	0.727772	0.789274	False	Mann-Whitney	0.0335	False
0-14	0.190166	0.276279	False	Mann-Whitney	0.1252	False
0-15	0.127191	0.206910	False	Mann-Whitney	0.1457	False
0-16	0.158141	0.237211	False	Mann-Whitney	0.1348	False
0-17	0.639541	0.713690	False	Mann-Whitney	0.0449	False
0-18	0.770951	0.828324	False	Mann-Whitney	0.0280	False
0-19	0.042195	0.084758	False	Mann-Whitney	0.1939	False
0-20	0.756471	0.816565	False	Mann-Whitney	0.0299	False
0-21	0.002433	0.011240	True	Mann-Whitney	0.2892	False
1-2	0.002815	0.012042	True	Mann-Whitney	0.2850	False
1-3	0.000562	0.004328	True	Mann-Whitney	0.3291	False
1-4	0.021238	0.053325	False	Mann-Whitney	0.2199	False
1-5	0.639541	0.713690	False	Mann-Whitney	0.0449	False
1-6	0.006376	0.020746	True	Mann-Whitney	0.2603	False
1-7	0.001808	0.009279	True	Mann-Whitney	0.2977	False
1-8	0.000020	0.000626	True	Mann-Whitney	0.4069	False
1-9	0.000465	0.004234	True	Mann-Whitney	0.3339	False
1-10	0.000087	0.001677	True	Mann-Whitney	0.3743	False
1-11	0.455176	0.565299	False	Mann-Whitney	0.0715	False
1-12	0.000394	0.003790	True	Mann-Whitney	0.3381	False
1-13	0.027189	0.060390	False	Mann-Whitney	0.2108	False
1-14	0.033460	0.072917	False	Mann-Whitney	0.2030	False
1-15	0.809943	0.846592	False	Mann-Whitney	0.0232	False
1-16	0.004144	0.015194	True	Mann-Whitney	0.2736	False
1-17	0.006019	0.019862	True	Mann-Whitney	0.2621	False
1-18	0.002284	0.011227	True	Mann-Whitney	0.2911	False
1-19	0.002099	0.010540	True	Mann-Whitney	0.2935	False
1-20	0.017032	0.043717	True	Mann-Whitney	0.2277	False
1-21	0.000039	0.000999	True	Mann-Whitney	0.3924	False
2-3	0.000512	0.004322	True	Mann-Whitney	0.3315	False
2-4	0.311237	0.408499	False	Mann-Whitney	0.0968	False
2-5	0.147247	0.222314	False	Mann-Whitney	0.1384	False
2-6	0.023857	0.055666	False	Mann-Whitney	0.2156	False
2-7	0.004953	0.017604	True	Mann-Whitney	0.2681	False
2-8	0.117995	0.196092	False	Mann-Whitney	0.1493	False
2-9	0.276341	0.373303	False	Mann-Whitney	0.1041	False
2-10	0.594982	0.677049	False	Mann-Whitney	0.0510	False
2-11	0.003599	0.013630	True	Mann-Whitney	0.2778	False
2-12	0.024655	0.056388	False	Mann-Whitney	0.2144	False
2-13	0.009999	0.029996	True	Mann-Whitney	0.2458	False
2-14	0.022702	0.055201	False	Mann-Whitney	0.2175	False
2-15	0.130378	0.209147	False	Mann-Whitney	0.1445	False
2-16	0.097281	0.167701	False	Mann-Whitney	0.1583	False
