Band: beta, Metric: wpli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.474504	0.519481	False	Mann-Whitney	0.0685	False
0-2	0.000254	0.000838	True	Mann-Whitney	0.3490	False
0-3	0.000760	0.002090	True	Mann-Whitney	0.3212	False
0-4	0.039696	0.057311	False	Mann-Whitney	0.1963	False
0-5	0.175612	0.212389	False	Mann-Whitney	0.1294	False
0-6	0.000170	0.000605	True	Mann-Whitney	0.3586	False
0-7	0.000833	0.002186	True	Mann-Whitney	0.3188	False
0-8	0.016173	0.026877	True	Mann-Whitney	0.2295	False
0-9	0.016173	0.026877	True	Mann-Whitney	0.2295	False
0-10	0.004488	0.008785	True	Mann-Whitney	0.2711	False
0-11	0.198872	0.239267	False	Mann-Whitney	0.1228	False
0-12	0.058444	0.078951	False	Mann-Whitney	0.1807	False
0-13	0.000465	0.001396	True	Mann-Whitney	0.3339	False
0-14	0.000280	0.000912	True	Mann-Whitney	0.3465	False
0-15	0.082896	0.108186	False	Mann-Whitney	0.1656	False
0-16	0.003057	0.006479	True	Mann-Whitney	0.2826	False
0-17	0.004144	0.008181	True	Mann-Whitney	0.2736	False
0-18	0.000203	0.000690	True	Mann-Whitney	0.3544	False
0-19	0.644073	0.688800	False	Mann-Whitney	0.0443	False
0-20	0.000247	0.000826	True	t-test	-0.6406	True
0-21	0.000000	0.000000	True	Mann-Whitney	0.5420	False
1-2	0.000184	0.000643	True	Mann-Whitney	0.3568	False
1-3	0.000524	0.001513	True	Mann-Whitney	0.3309	False
1-4	0.746865	0.784209	False	Mann-Whitney	0.0311	False
1-5	0.136936	0.170985	False	Mann-Whitney	0.1421	False
1-6	0.000693	0.001952	True	Mann-Whitney	0.3236	False
1-7	0.002012	0.004556	True	Mann-Whitney	0.2947	False
1-8	0.979803	0.979803	False	Mann-Whitney	0.0027	False
1-9	0.115048	0.146829	False	Mann-Whitney	0.1505	False
1-10	0.004577	0.008811	True	Mann-Whitney	0.2705	False
1-11	0.414253	0.464526	False	Mann-Whitney	0.0781	False
1-12	0.229171	0.270094	False	Mann-Whitney	0.1149	False
1-13	0.007286	0.013150	True	Mann-Whitney	0.2561	False
1-14	0.059292	0.079631	False	Mann-Whitney	0.1801	False
1-15	0.259933	0.301731	False	Mann-Whitney	0.1077	False
1-16	0.680794	0.724716	False	Mann-Whitney	0.0395	False
1-17	0.000677	0.001931	True	Mann-Whitney	0.3242	False
1-18	0.000047	0.000176	True	Mann-Whitney	0.3882	False
1-19	0.130378	0.163681	False	Mann-Whitney	0.1445	False
1-20	0.568946	0.614143	False	Mann-Whitney	0.0546	False
1-21	0.000000	0.000000	True	t-test	-1.1015	True
2-3	0.001424	0.003426	True	Mann-Whitney	0.3043	False
2-4	0.000001	0.000008	True	Mann-Whitney	0.4654	False
2-5	0.000872	0.002212	True	Mann-Whitney	0.3176	False
2-6	0.088665	0.114422	False	Mann-Whitney	0.1626	False
2-7	0.000465	0.001396	True	Mann-Whitney	0.3339	False
2-8	0.000001	0.000007	True	Mann-Whitney	0.4684	False
2-9	0.021959	0.034153	True	Mann-Whitney	0.2187	False
2-10	0.077434	0.101632	False	Mann-Whitney	0.1686	False
2-11	0.000001	0.000005	True	Mann-Whitney	0.4780	False
2-12	0.000000	0.000000	True	Mann-Whitney	0.5806	False
2-13	0.002099	0.004662	True	Mann-Whitney	0.2935	False
2-14	0.052788	0.071729	False	Mann-Whitney	0.1849	False
2-15	0.000013	0.000060	True	Mann-Whitney	0.4153	False
2-16	0.000000	0.000002	True	Mann-Whitney	0.4961	False
2-17	0.011562	0.019784	True	Mann-Whitney	0.2410	False
2-18	0.459006	0.509761	False	Mann-Whitney	0.0709	False
2-19	0.005463	0.010259	True	Mann-Whitney	0.2651	False
2-20	0.022030	0.034153	True	t-test	-0.3681	True
2-21	0.000001	0.000010	True	t-test	-0.8383	True
3-4	0.000000	0.000001	True	Mann-Whitney	0.5269	False
3-5	0.000488	0.001427	True	Mann-Whitney	0.3327	False
3-6	0.000852	0.002187	True	Mann-Whitney	0.3182	False
3-7	0.466719	0.513391	False	Mann-Whitney	0.0697	False
3-8	0.000013	0.000060	True	Mann-Whitney	0.4153	False
3-9	0.022328	0.034385	True	Mann-Whitney	0.2181	False
3-10	0.001887	0.004358	True	Mann-Whitney	0.2965	False
3-11	0.000796	0.002137	True	Mann-Whitney	0.3200	False
3-12	0.000000	0.000002	True	Mann-Whitney	0.5040	False
3-13	0.844456	0.863139	False	Mann-Whitney	0.0190	False
3-14	0.008953	0.015787	True	Mann-Whitney	0.2494	False
3-15	0.000726	0.002020	True	Mann-Whitney	0.3224	False
3-16	0.000000	0.000003	True	Mann-Whitney	0.4889	False
3-17	0.854375	0.869430	False	Mann-Whitney	0.0178	False
3-18	0.163812	0.201280	False	Mann-Whitney	0.1330	False
3-19	0.003057	0.006479	True	Mann-Whitney	0.2826	False
3-20	0.491854	0.535936	False	t-test	-0.1151	True
3-21	0.000000	0.000003	True	t-test	-0.8919	True
4-5	0.979803	0.979803	False	Mann-Whitney	0.0027	False
4-6	0.000030	0.000116	True	Mann-Whitney	0.3984	False
4-7	0.000007	0.000037	True	Mann-Whitney	0.4286	False
4-8	0.072270	0.095396	False	Mann-Whitney	0.1716	False
4-9	0.000954	0.002370	True	Mann-Whitney	0.3152	False
4-10	0.000006	0.000033	True	Mann-Whitney	0.4316	False
4-11	0.018873	0.030588	True	Mann-Whitney	0.2241	False
4-12	0.090954	0.116725	False	t-test	-0.2693	True
4-13	0.000000	0.000002	True	Mann-Whitney	0.5046	False
4-14	0.000024	0.000099	True	Mann-Whitney	0.4032	False
4-15	0.795260	0.823790	False	Mann-Whitney	0.0250	False
4-16	0.023857	0.036496	True	Mann-Whitney	0.2156	False
4-17	0.000012	0.000059	True	Mann-Whitney	0.4171	False
4-18	0.000000	0.000003	True	Mann-Whitney	0.4901	False
4-19	0.167677	0.204938	False	Mann-Whitney	0.1318	False
4-20	0.048103	0.066938	False	t-test	-0.3366	True
4-21	0.000000	0.000001	True	t-test	-0.9208	True
5-6	0.000035	0.000132	True	Mann-Whitney	0.3948	False
5-7	0.000154	0.000555	True	Mann-Whitney	0.3610	False
5-8	0.869296	0.876889	False	Mann-Whitney	0.0160	False
5-9	0.287664	0.330599	False	Mann-Whitney	0.1016	False
5-10	0.037323	0.054223	False	Mann-Whitney	0.1988	False
5-11	0.035623	0.052749	False	Mann-Whitney	0.2006	False
5-12	0.219517	0.261384	False	Mann-Whitney	0.1173	False
5-13	0.003318	0.006783	True	Mann-Whitney	0.2802	False
5-14	0.027632	0.041994	True	Mann-Whitney	0.2102	False
5-15	0.332881	0.378796	False	Mann-Whitney	0.0926	False
5-16	0.766116	0.797174	False	Mann-Whitney	0.0287	False
5-17	0.003527	0.007085	True	Mann-Whitney	0.2784	False
5-18	0.000384	0.001200	True	Mann-Whitney	0.3387	False
5-19	0.042841	0.060713	False	Mann-Whitney	0.1933	False
5-20	0.365908	0.412315	False	t-test	-0.1568	True
5-21	0.000000	0.000001	True	t-test	-0.9679	True
6-7	0.002012	0.004556	True	Mann-Whitney	0.2947	False
6-8	0.000014	0.000061	True	Mann-Whitney	0.4147	False
6-9	0.045506	0.063709	False	Mann-Whitney	0.1909	False
6-10	0.021959	0.034153	True	Mann-Whitney	0.2187	False
6-11	0.000007	0.000035	True	Mann-Whitney	0.4298	False
6-12	0.000004	0.000025	True	Mann-Whitney	0.4394	False
6-13	0.005791	0.010787	True	Mann-Whitney	0.2633	False
6-14	0.018873	0.030588	True	Mann-Whitney	0.2241	False
6-15	0.000024	0.000099	True	Mann-Whitney	0.4032	False
6-16	0.000003	0.000020	True	Mann-Whitney	0.4449	False
