Band: delta, Metric: pli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.016455	0.042234	True	Mann-Whitney	0.2289	False
0-2	0.003057	0.011390	True	Mann-Whitney	0.2826	False
0-3	0.648618	0.745427	False	Mann-Whitney	0.0437	False
0-4	0.000043	0.000669	True	Mann-Whitney	0.3900	False
0-5	0.231631	0.352018	False	Mann-Whitney	0.1143	False
0-6	0.000208	0.001825	True	Mann-Whitney	0.3538	False
0-7	0.008468	0.026080	True	Mann-Whitney	0.2512	False
0-8	0.000693	0.004105	True	Mann-Whitney	0.3236	False
0-9	0.031410	0.070444	False	Mann-Whitney	0.2054	False
0-10	0.001142	0.005274	True	Mann-Whitney	0.3104	False
0-11	0.033460	0.074320	False	Mann-Whitney	0.2030	False
0-12	0.000004	0.000115	True	Mann-Whitney	0.4376	False
0-13	0.635022	0.737136	False	Mann-Whitney	0.0455	False
0-14	0.049766	0.099103	False	Mann-Whitney	0.1873	False
0-15	0.035623	0.077631	False	Mann-Whitney	0.2006	False
0-16	0.000003	0.000101	True	Mann-Whitney	0.4431	False
0-17	0.526803	0.654256	False	Mann-Whitney	0.0606	False
0-18	0.001044	0.005274	True	Mann-Whitney	0.3128	False
0-19	0.929396	0.949958	False	Mann-Whitney	0.0087	False
0-20	0.099862	0.177447	False	Mann-Whitney	0.1571	False
0-21	0.608201	0.720484	False	Mann-Whitney	0.0492	False
1-2	0.372190	0.502783	False	Mann-Whitney	0.0854	False
1-3	0.989901	0.994205	False	Mann-Whitney	0.0015	False
1-4	0.001116	0.005274	True	Mann-Whitney	0.3110	False
1-5	0.002382	0.009172	True	Mann-Whitney	0.2898	False
1-6	0.909301	0.933549	False	Mann-Whitney	0.0112	False
1-7	0.311237	0.449349	False	Mann-Whitney	0.0968	False
1-8	0.150813	0.247076	False	Mann-Whitney	0.1372	False
1-9	0.417881	0.548469	False	Mann-Whitney	0.0775	False
1-10	0.399929	0.534009	False	Mann-Whitney	0.0805	False
1-11	0.000094	0.001037	True	Mann-Whitney	0.3725	False
1-12	0.003386	0.012035	True	Mann-Whitney	0.2796	False
1-13	0.128777	0.214010	False	Mann-Whitney	0.1451	False
1-14	0.934427	0.950893	False	Mann-Whitney	0.0081	False
1-15	0.000005	0.000120	True	Mann-Whitney	0.4346	False
1-16	0.003824	0.012991	True	Mann-Whitney	0.2760	False
1-17	0.265326	0.397988	False	Mann-Whitney	0.1065	False
1-18	0.630517	0.737136	False	Mann-Whitney	0.0461	False
1-19	0.635022	0.737136	False	Mann-Whitney	0.0455	False
1-20	0.003121	0.011442	True	Mann-Whitney	0.2820	False
