Band: delta, Metric: plv
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.000000	0.000000	True	Mann-Whitney	0.6234	False
0-2	0.000000	0.000000	True	Mann-Whitney	0.5703	False
0-3	0.000000	0.000000	True	Mann-Whitney	0.5016	False
0-4	0.000726	0.001048	True	Mann-Whitney	0.3224	False
0-5	0.000000	0.000000	True	Mann-Whitney	0.5390	False
0-6	0.000001	0.000002	True	Mann-Whitney	0.4624	False
0-7	0.000005	0.000009	True	Mann-Whitney	0.4340	False
0-8	0.000000	0.000000	True	t-test	-1.3292	True
0-9	0.000000	0.000000	True	Mann-Whitney	0.5957	False
0-10	0.000000	0.000000	True	Mann-Whitney	0.6427	False
0-11	0.000000	0.000000	True	Mann-Whitney	0.5583	False
0-12	0.000001	0.000001	True	Mann-Whitney	0.4738	False
0-13	0.004062	0.005331	True	Mann-Whitney	0.2742	False
0-14	0.000001	0.000001	True	Mann-Whitney	0.4726	False
0-15	0.000000	0.000000	True	Mann-Whitney	0.5860	False
0-16	0.000001	0.000002	True	Mann-Whitney	0.4624	False
0-17	0.000000	0.000000	True	Mann-Whitney	0.6355	False
0-18	0.000001	0.000003	True	Mann-Whitney	0.4593	False
0-19	0.389384	0.420317	False	Mann-Whitney	0.0823	False
0-20	0.265326	0.294664	False	Mann-Whitney	0.1065	False
0-21	0.375590	0.409252	False	Mann-Whitney	0.0848	False
1-2	0.000000	0.000000	True	Mann-Whitney	0.6355	False
1-3	0.000000	0.000000	True	Mann-Whitney	0.6584	False
1-4	0.000000	0.000000	True	Mann-Whitney	0.5215	False
1-5	0.000001	0.000001	True	Mann-Whitney	0.4744	False
1-6	0.000000	0.000000	True	Mann-Whitney	0.5896	False
1-7	0.000000	0.000000	True	Mann-Whitney	0.6445	False
1-8	0.000000	0.000000	True	Mann-Whitney	0.6168	False
1-9	0.000000	0.000000	True	Mann-Whitney	0.6819	False
1-10	0.000000	0.000000	True	Mann-Whitney	0.6379	False
1-11	0.000000	0.000000	True	Mann-Whitney	0.5770	False
1-12	0.000000	0.000000	True	Mann-Whitney	0.6349	False
1-13	0.000000	0.000000	True	Mann-Whitney	0.5504	False
1-14	0.000000	0.000000	True	Mann-Whitney	0.5323	False
1-15	0.000000	0.000000	True	Mann-Whitney	0.5571	False
1-16	0.000000	0.000000	True	Mann-Whitney	0.6150	False
1-17	0.000000	0.000000	True	Mann-Whitney	0.6101	False
1-18	0.000000	0.000000	True	Mann-Whitney	0.6089	False
1-19	0.612636	0.652161	False	Mann-Whitney	0.0486	False
1-20	0.000302	0.000444	True	Mann-Whitney	0.3447	False
1-21	0.003121	0.004265	True	Mann-Whitney	0.2820	False
2-3	0.000000	0.000000	True	Mann-Whitney	0.6017	False
2-4	0.000022	0.000036	True	t-test	-0.7432	True
2-5	0.000000	0.000000	True	Mann-Whitney	0.5854	False
2-6	0.007015	0.009003	True	Mann-Whitney	0.2573	False
2-7	0.000000	0.000000	True	Mann-Whitney	0.5860	False
2-8	0.000000	0.000000	True	Mann-Whitney	0.6656	False
2-9	0.000000	0.000000	True	Mann-Whitney	0.6415	False
2-10	0.000000	0.000000	True	Mann-Whitney	0.5191	False
2-11	0.000000	0.000000	True	Mann-Whitney	0.5450	False
2-12	0.000000	0.000000	True	t-test	-1.1834	True
2-13	0.000000	0.000000	True	Mann-Whitney	0.5619	False
2-14	0.000069	0.000107	True	Mann-Whitney	0.3797	False
2-15	0.000000	0.000000	True	Mann-Whitney	0.5185	False
2-16	0.000000	0.000000	True	Mann-Whitney	0.5076	False
