Band: delta, Metric: wpli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.000003	0.000033	True	Mann-Whitney	0.4437	False
0-2	0.994950	0.999276	False	Mann-Whitney	0.0009	False
0-3	0.188034	0.285762	False	Mann-Whitney	0.1258	False
0-4	0.000000	0.000000	True	Mann-Whitney	0.6270	False
0-5	0.000074	0.000429	True	Mann-Whitney	0.3779	False
0-6	0.440038	0.564715	False	Mann-Whitney	0.0739	False
0-7	0.889263	0.912977	False	Mann-Whitney	0.0136	False
0-8	0.000000	0.000000	True	Mann-Whitney	0.5396	False
0-9	0.594982	0.697669	False	Mann-Whitney	0.0510	False
0-10	0.676160	0.754555	False	Mann-Whitney	0.0401	False
0-11	0.000001	0.000014	True	Mann-Whitney	0.4624	False
0-12	0.000000	0.000000	True	Mann-Whitney	0.6282	False
0-13	0.031912	0.066412	False	Mann-Whitney	0.2048	False
0-14	0.944498	0.965393	False	Mann-Whitney	0.0069	False
0-15	0.000019	0.000144	True	Mann-Whitney	0.4075	False
0-16	0.000000	0.000000	True	t-test	-1.5108	True
0-17	0.002537	0.008747	True	Mann-Whitney	0.2880	False
0-18	0.522678	0.628848	False	Mann-Whitney	0.0612	False
0-19	0.001068	0.004404	True	Mann-Whitney	0.3122	False
0-20	0.276341	0.384547	False	Mann-Whitney	0.1041	False
0-21	0.116514	0.188215	False	Mann-Whitney	0.1499	False
1-2	0.671538	0.753035	False	Mann-Whitney	0.0407	False
1-3	0.284804	0.391606	False	Mann-Whitney	0.1022	False
1-4	0.000032	0.000225	True	Mann-Whitney	0.3966	False
1-5	0.000000	0.000002	True	Mann-Whitney	0.4998	False
1-6	0.109328	0.183006	False	Mann-Whitney	0.1529	False
1-7	0.451364	0.569755	False	Mann-Whitney	0.0721	False
1-8	0.001220	0.004946	True	Mann-Whitney	0.3085	False
1-9	0.000444	0.001972	True	Mann-Whitney	0.3351	False
1-10	0.165736	0.258682	False	Mann-Whitney	0.1324	False
1-11	0.000000	0.000000	True	t-test	-1.1926	True
1-12	0.000041	0.000276	True	Mann-Whitney	0.3912	False
1-13	0.000954	0.004008	True	Mann-Whitney	0.3152	False
1-14	0.036748	0.074464	False	Mann-Whitney	0.1994	False
1-15	0.000000	0.000001	True	Mann-Whitney	0.5167	False
1-16	0.000060	0.000365	True	Mann-Whitney	0.3827	False
1-17	0.007286	0.020780	True	Mann-Whitney	0.2561	False
1-18	0.098565	0.166193	False	Mann-Whitney	0.1577	False
1-19	0.008311	0.022324	True	Mann-Whitney	0.2518	False
1-20	0.000071	0.000418	True	Mann-Whitney	0.3791	False
1-21	0.257265	0.369120	False	Mann-Whitney	0.1083	False
2-3	0.518570	0.628848	False	Mann-Whitney	0.0618	False
2-4	0.152620	0.239831	False	Mann-Whitney	0.1366	False
2-5	0.474504	0.586153	False	Mann-Whitney	0.0685	False
2-6	0.001333	0.005219	True	Mann-Whitney	0.3061	False
2-7	0.775796	0.837425	False	Mann-Whitney	0.0274	False
2-8	0.005570	0.017388	True	Mann-Whitney	0.2645	False
2-9	0.000349	0.001581	True	Mann-Whitney	0.3411	False
2-10	0.000000	0.000001	True	Mann-Whitney	0.5305	False
2-11	0.010755	0.028232	True	Mann-Whitney	0.2434	False
2-12	0.007567	0.021060	True	Mann-Whitney	0.2549	False
2-13	0.494275	0.607328	False	Mann-Whitney	0.0654	False
2-14	0.000000	0.000000	True	t-test	-1.4918	True
2-15	0.075333	0.130842	False	Mann-Whitney	0.1698	False
2-16	0.002537	0.008747	True	Mann-Whitney	0.2880	False
2-17	0.795260	0.846567	False	Mann-Whitney	0.0250	False
2-18	0.015086	0.036683	True	Mann-Whitney	0.2319	False
2-19	0.617085	0.709188	False	Mann-Whitney	0.0480	False
2-20	0.332881	0.439403	False	Mann-Whitney	0.0926	False
2-21	0.004857	0.015583	True	Mann-Whitney	0.2687	False
3-4	0.022328	0.048658	True	Mann-Whitney	0.2181	False
3-5	0.443795	0.566390	False	Mann-Whitney	0.0733	False
3-6	0.372190	0.488499	False	Mann-Whitney	0.0854	False
3-7	1.000000	1.000000	False	Mann-Whitney	0.0003	False
