Band: gamma, Metric: plv
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	nan	nan	False	t-test	0.0000	True
0-2	nan	nan	False	t-test	0.0000	True
0-3	nan	nan	False	t-test	0.0000	True
0-4	nan	nan	False	t-test	0.0000	True
0-5	nan	nan	False	t-test	0.0000	True
0-6	nan	nan	False	t-test	0.0000	True
0-7	nan	nan	False	t-test	0.0000	True
0-8	nan	nan	False	t-test	0.0000	True
0-9	nan	nan	False	t-test	0.0000	True
0-10	nan	nan	False	t-test	0.0000	True
0-11	nan	nan	False	t-test	0.0000	True
0-12	nan	nan	False	t-test	0.0000	True
0-13	nan	nan	False	t-test	0.0000	True
0-14	nan	nan	False	t-test	0.0000	True
0-15	nan	nan	False	t-test	0.0000	True
0-16	nan	nan	False	t-test	0.0000	True
0-17	nan	nan	False	t-test	0.0000	True
0-18	nan	nan	False	t-test	0.0000	True
0-19	nan	nan	False	t-test	0.0000	True
0-20	nan	nan	False	t-test	0.0000	True
0-21	nan	nan	False	t-test	0.0000	True
1-2	nan	nan	False	t-test	0.0000	True
1-3	nan	nan	False	t-test	0.0000	True
1-4	nan	nan	False	t-test	0.0000	True
1-5	nan	nan	False	t-test	0.0000	True
1-6	nan	nan	False	t-test	0.0000	True
1-7	nan	nan	False	t-test	0.0000	True
1-8	nan	nan	False	t-test	0.0000	True
1-9	nan	nan	False	t-test	0.0000	True
1-10	nan	nan	False	t-test	0.0000	True
1-11	nan	nan	False	t-test	0.0000	True
1-12	nan	nan	False	t-test	0.0000	True
1-13	nan	nan	False	t-test	0.0000	True
1-14	nan	nan	False	t-test	0.0000	True
1-15	nan	nan	False	t-test	0.0000	True
1-16	nan	nan	False	t-test	0.0000	True
1-17	nan	nan	False	t-test	0.0000	True
1-18	nan	nan	False	t-test	0.0000	True
1-19	nan	nan	False	t-test	0.0000	True
1-20	nan	nan	False	t-test	0.0000	True
1-21	nan	nan	False	t-test	0.0000	True
2-3	nan	nan	False	t-test	0.0000	True
2-4	nan	nan	False	t-test	0.0000	True
2-5	nan	nan	False	t-test	0.0000	True
2-6	nan	nan	False	t-test	0.0000	True
2-7	nan	nan	False	t-test	0.0000	True
2-8	nan	nan	False	t-test	0.0000	True
2-9	nan	nan	False	t-test	0.0000	True
2-10	nan	nan	False	t-test	0.0000	True
2-11	nan	nan	False	t-test	0.0000	True
2-12	nan	nan	False	t-test	0.0000	True
2-13	nan	nan	False	t-test	0.0000	True
2-14	nan	nan	False	t-test	0.0000	True
