Band: theta, Metric: pli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.984852	0.989134	False	Mann-Whitney	0.0021	False
0-2	0.000000	0.000000	True	Mann-Whitney	0.5233	False
0-3	0.000000	0.000001	True	Mann-Whitney	0.5191	False
0-4	0.000007	0.000025	True	Mann-Whitney	0.4280	False
0-5	0.031410	0.037209	True	Mann-Whitney	0.2054	False
0-6	0.000000	0.000000	True	Mann-Whitney	0.5221	False
0-7	0.000000	0.000001	True	Mann-Whitney	0.5040	False
0-8	0.061018	0.069434	False	Mann-Whitney	0.1789	False
0-9	0.000023	0.000067	True	Mann-Whitney	0.4039	False
0-10	0.000000	0.000000	True	Mann-Whitney	0.5203	False
0-11	0.142019	0.156969	False	Mann-Whitney	0.1402	False
0-12	0.000287	0.000572	True	Mann-Whitney	0.3459	False
0-13	0.000000	0.000000	True	Mann-Whitney	0.5830	False
0-14	0.000000	0.000001	True	Mann-Whitney	0.5088	False
0-15	0.751664	0.771708	False	Mann-Whitney	0.0305	False
0-16	0.000230	0.000470	True	Mann-Whitney	0.3514	False
0-17	0.000000	0.000003	True	Mann-Whitney	0.4823	False
0-18	0.000000	0.000000	True	Mann-Whitney	0.5293	False
0-19	0.293441	0.318239	False	Mann-Whitney	0.1004	False
0-20	0.001393	0.002266	True	Mann-Whitney	0.3049	False
0-21	0.000000	0.000000	True	t-test	-0.9893	True
1-2	0.000015	0.000047	True	Mann-Whitney	0.4129	False
1-3	0.004669	0.006420	True	Mann-Whitney	0.2699	False
1-4	0.276341	0.301107	False	Mann-Whitney	0.1041	False
1-5	0.000358	0.000683	True	Mann-Whitney	0.3405	False
1-6	0.000287	0.000572	True	Mann-Whitney	0.3459	False
1-7	0.003318	0.004790	True	Mann-Whitney	0.2802	False
1-8	0.671538	0.692523	False	Mann-Whitney	0.0407	False
1-9	0.000219	0.000456	True	Mann-Whitney	0.3526	False
1-10	0.000143	0.000311	True	Mann-Whitney	0.3628	False
1-11	0.011985	0.015212	True	Mann-Whitney	0.2398	False
1-12	0.551897	0.576870	False	Mann-Whitney	0.0570	False
1-13	0.091061	0.102611	False	Mann-Whitney	0.1614	False
1-14	0.000309	0.000605	True	Mann-Whitney	0.3441	False
1-15	0.000933	0.001550	True	Mann-Whitney	0.3158	False
1-16	0.934427	0.942588	False	Mann-Whitney	0.0081	False
1-17	0.001658	0.002571	True	Mann-Whitney	0.3001	False
1-18	0.000000	0.000000	True	Mann-Whitney	0.5239	False
1-19	0.004669	0.006420	True	Mann-Whitney	0.2699	False
1-20	0.001538	0.002434	True	t-test	-0.5116	True
1-21	0.000694	0.001224	True	t-test	-0.5415	True
2-3	0.000872	0.001480	True	Mann-Whitney	0.3176	False
2-4	0.000007	0.000025	True	Mann-Whitney	0.4280	False
2-5	0.000004	0.000015	True	Mann-Whitney	0.4388	False
2-6	0.000055	0.000139	True	Mann-Whitney	0.3845	False
2-7	0.000076	0.000186	True	Mann-Whitney	0.3773	False
2-8	0.000001	0.000003	True	Mann-Whitney	0.4780	False
2-9	0.001969	0.002973	True	Mann-Whitney	0.2953	False
2-10	0.000000	0.000001	True	Mann-Whitney	0.5106	False
2-11	0.000004	0.000015	True	Mann-Whitney	0.4388	False
2-12	0.000000	0.000000	True	Mann-Whitney	0.6132	False
2-13	0.002333	0.003454	True	Mann-Whitney	0.2904	False
2-14	0.000009	0.000029	True	Mann-Whitney	0.4238	False
2-15	0.000001	0.000003	True	Mann-Whitney	0.4750	False
2-16	0.000000	0.000000	True	Mann-Whitney	0.5221	False
2-17	0.002190	0.003285	True	Mann-Whitney	0.2923	False
2-18	0.006500	0.008729	True	Mann-Whitney	0.2597	False
2-19	0.502305	0.529829	False	Mann-Whitney	0.0642	False
2-20	0.000933	0.001550	True	Mann-Whitney	0.3158	False
2-21	0.000394	0.000740	True	Mann-Whitney	0.3381	False
3-4	0.000074	0.000183	True	Mann-Whitney	0.3779	False
3-5	0.000726	0.001270	True	Mann-Whitney	0.3224	False
3-6	0.017032	0.021268	True	Mann-Whitney	0.2277	False
3-7	0.027189	0.032542	True	Mann-Whitney	0.2108	False
3-8	0.000000	0.000001	True	Mann-Whitney	0.5016	False
3-9	0.000005	0.000017	True	Mann-Whitney	0.4370	False
3-10	0.000158	0.000335	True	Mann-Whitney	0.3604	False
3-11	0.002484	0.003632	True	Mann-Whitney	0.2886	False
3-12	0.000001	0.000003	True	Mann-Whitney	0.4793	False
3-13	0.000500	0.000931	True	Mann-Whitney	0.3321	False
3-14	0.007567	0.010046	True	Mann-Whitney	0.2549	False
3-15	0.000954	0.001574	True	Mann-Whitney	0.3152	False
3-16	0.000002	0.000009	True	Mann-Whitney	0.4515	False
3-17	0.054355	0.062468	False	Mann-Whitney	0.1837	False
3-18	0.000912	0.001538	True	Mann-Whitney	0.3164	False
3-19	0.040308	0.046790	True	Mann-Whitney	0.1957	False
3-20	0.000019	0.000058	True	t-test	-0.6893	True
3-21	0.000055	0.000139	True	t-test	-0.6408	True
4-5	0.034527	0.040692	True	Mann-Whitney	0.2018	False
4-6	0.000003	0.000011	True	Mann-Whitney	0.4461	False
4-7	0.001887	0.002867	True	Mann-Whitney	0.2965	False
4-8	0.005570	0.007569	True	Mann-Whitney	0.2645	False
