Band: theta, Metric: plv
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.000003	0.000025	True	Mann-Whitney	0.4431	False
0-2	0.152620	0.194780	False	Mann-Whitney	0.1366	False
0-3	0.088665	0.119079	False	Mann-Whitney	0.1626	False
0-4	0.226730	0.275656	False	Mann-Whitney	0.1155	False
0-5	0.000105	0.000384	True	Mann-Whitney	0.3701	False
0-6	0.766116	0.804421	False	Mann-Whitney	0.0287	False
0-7	0.385907	0.443505	False	Mann-Whitney	0.0829	False
0-8	0.077434	0.105842	False	Mann-Whitney	0.1686	False
0-9	0.000000	0.000003	True	Mann-Whitney	0.4973	False
0-10	0.000369	0.001053	True	t-test	-0.6074	True
0-11	0.005570	0.010212	True	Mann-Whitney	0.2645	False
0-12	0.617085	0.675577	False	Mann-Whitney	0.0480	False
0-13	0.385907	0.443505	False	Mann-Whitney	0.0829	False
0-14	0.229171	0.277165	False	Mann-Whitney	0.1149	False
0-15	0.002284	0.004629	True	Mann-Whitney	0.2911	False
0-16	0.305228	0.359733	False	Mann-Whitney	0.0980	False
0-17	0.009120	0.015048	True	Mann-Whitney	0.2488	False
0-18	0.864317	0.883439	False	Mann-Whitney	0.0166	False
0-19	0.829624	0.855550	False	Mann-Whitney	0.0208	False
0-20	0.003673	0.006954	True	Mann-Whitney	0.2772	False
0-21	0.000000	0.000000	True	t-test	-0.9979	True
1-2	0.000007	0.000044	True	Mann-Whitney	0.4280	False
1-3	0.000002	0.000017	True	Mann-Whitney	0.4551	False
1-4	0.000092	0.000342	True	Mann-Whitney	0.3731	False
1-5	0.007015	0.012004	True	Mann-Whitney	0.2573	False
1-6	0.000015	0.000079	True	Mann-Whitney	0.4123	False
1-7	0.000003	0.000021	True	Mann-Whitney	0.4485	False
1-8	0.000000	0.000003	True	Mann-Whitney	0.5064	False
1-9	0.000000	0.000003	True	Mann-Whitney	0.5112	False
1-10	0.000001	0.000009	True	Mann-Whitney	0.4708	False
1-11	0.000833	0.002091	True	Mann-Whitney	0.3188	False
1-12	0.000007	0.000041	True	Mann-Whitney	0.4298	False
1-13	0.000013	0.000068	True	Mann-Whitney	0.4165	False
1-14	0.000366	0.001053	True	Mann-Whitney	0.3399	False
1-15	0.006753	0.011818	True	Mann-Whitney	0.2585	False
1-16	0.000012	0.000064	True	Mann-Whitney	0.4183	False
1-17	0.000006	0.000041	True	Mann-Whitney	0.4310	False
1-18	0.000035	0.000152	True	Mann-Whitney	0.3948	False
1-19	0.290543	0.344182	False	Mann-Whitney	0.1010	False
1-20	0.032937	0.047852	True	Mann-Whitney	0.2036	False
