Band: theta, Metric: wpli
Pair (i,j)	Raw p	FDR p	Reject	Test	Effect size	Normal?
0-1	0.000000	0.000002	True	Mann-Whitney	0.4799	False
0-2	0.028538	0.043370	True	Mann-Whitney	0.2090	False
0-3	0.028538	0.043370	True	Mann-Whitney	0.2090	False
0-4	0.000000	0.000000	True	Mann-Whitney	0.6439	False
0-5	0.000000	0.000000	True	Mann-Whitney	0.5239	False
0-6	0.029469	0.044493	True	Mann-Whitney	0.2078	False
0-7	0.038494	0.056637	False	Mann-Whitney	0.1976	False
0-8	0.000000	0.000000	True	Mann-Whitney	0.5565	False
0-9	0.217150	0.268244	False	Mann-Whitney	0.1179	False
0-10	0.080675	0.110928	False	Mann-Whitney	0.1668	False
0-11	0.000455	0.000990	True	Mann-Whitney	0.3345	False
0-12	0.000000	0.000000	True	t-test	-1.8870	True
0-13	0.007425	0.012429	True	Mann-Whitney	0.2555	False
0-14	0.055153	0.079133	False	Mann-Whitney	0.1831	False
0-15	0.000002	0.000009	True	Mann-Whitney	0.4509	False
0-16	0.000000	0.000000	True	t-test	-1.9822	True
0-17	0.143746	0.183455	False	Mann-Whitney	0.1396	False
0-18	0.039091	0.057151	False	Mann-Whitney	0.1969	False
0-19	0.000002	0.000010	True	Mann-Whitney	0.4497	False
0-20	0.000000	0.000000	True	t-test	-1.2999	True
0-21	0.000000	0.000000	True	t-test	-1.3362	True
1-2	0.060150	0.085769	False	Mann-Whitney	0.1795	False
1-3	0.560390	0.602094	False	Mann-Whitney	0.0558	False
1-4	0.002144	0.004026	True	Mann-Whitney	0.2929	False
1-5	0.000000	0.000000	True	Mann-Whitney	0.5510	False
1-6	0.279143	0.332381	False	Mann-Whitney	0.1035	False
1-7	0.685440	0.722998	False	Mann-Whitney	0.0389	False
1-8	0.003599	0.006445	True	Mann-Whitney	0.2778	False
1-9	0.061897	0.087719	False	Mann-Whitney	0.1782	False
1-10	0.308223	0.361419	False	Mann-Whitney	0.0974	False
1-11	0.000000	0.000000	True	t-test	-1.2346	True
1-12	0.008953	0.014667	True	Mann-Whitney	0.2494	False
1-13	0.273558	0.327419	False	Mann-Whitney	0.1047	False
1-14	0.732530	0.765676	False	Mann-Whitney	0.0329	False
1-15	0.000000	0.000000	True	t-test	-1.5259	True
1-16	0.008311	0.013713	True	Mann-Whitney	0.2518	False
1-17	0.690098	0.724602	False	Mann-Whitney	0.0383	False
1-18	0.000778	0.001604	True	Mann-Whitney	0.3206	False
1-19	0.147247	0.186890	False	Mann-Whitney	0.1384	False
1-20	0.000000	0.000002	True	Mann-Whitney	0.4883	False
1-21	0.000000	0.000001	True	Mann-Whitney	0.4895	False
2-3	0.167677	0.210507	False	Mann-Whitney	0.1318	False
2-4	0.000287	0.000684	True	Mann-Whitney	0.3459	False
2-5	0.022328	0.034850	True	Mann-Whitney	0.2181	False
2-6	0.000000	0.000000	True	Mann-Whitney	0.5209	False
2-7	0.040308	0.058561	False	Mann-Whitney	0.1957	False
2-8	0.001623	0.003124	True	Mann-Whitney	0.3007	False
2-9	0.154444	0.194954	False	Mann-Whitney	0.1360	False
2-10	0.000000	0.000000	True	Mann-Whitney	0.6500	False
2-11	0.000488	0.001054	True	Mann-Whitney	0.3327	False
2-12	0.000003	0.000013	True	Mann-Whitney	0.4437	False
2-13	0.105188	0.142096	False	Mann-Whitney	0.1547	False
2-14	0.000000	0.000000	True	Mann-Whitney	0.6379	False
2-15	0.000433	0.000953	True	Mann-Whitney	0.3357	False
2-16	0.000027	0.000086	True	Mann-Whitney	0.4002	False
2-17	0.116514	0.153799	False	Mann-Whitney	0.1499	False
2-18	0.000085	0.000248	True	Mann-Whitney	0.3749	False
